scenario,num_disks,seed,event_id,disk_id,state,start_window,end_window,start_read,end_read,is_migration_positive,notes
dynamic_sensitivity_100d_10pct_hdd,100,42,36,94,healthy,11,14,550000,700000,0,recovered_interval
dynamic_sensitivity_100d_10pct_hdd,100,42,37,94,mild_slow,14,15,700000,750000,1,relapse
dynamic_sensitivity_100d_10pct_hdd,100,42,38,94,recovery,15,16,750000,800000,0,relapse_recovery
dynamic_sensitivity_100d_10pct_hdd,100,42,39,94,healthy,16,20,800000,1000000,0,post_recovery_observation
dynamic_sensitivity_100d_10pct_hdd,100,42,40,95,healthy,0,9,0,450000,0,staggered_later_onset
dynamic_sensitivity_100d_10pct_hdd,100,42,41,95,mild_slow,9,11,450000,550000,1,second_disk_mild_period
dynamic_sensitivity_100d_10pct_hdd,100,42,42,95,severe_slow,11,14,550000,700000,1,second_disk_severe_period
dynamic_sensitivity_100d_10pct_hdd,100,42,43,95,recovery,14,16,700000,800000,0,second_disk_recovery
dynamic_sensitivity_100d_10pct_hdd,100,42,44,95,healthy,16,20,800000,1000000,0,second_disk_post_recovery
dynamic_sensitivity_100d_10pct_hdd,100,42,45,96,healthy,0,9,0,450000,0,staggered_later_onset
dynamic_sensitivity_100d_10pct_hdd,100,42,46,96,mild_slow,9,11,450000,550000,1,second_disk_mild_period
dynamic_sensitivity_100d_10pct_hdd,100,42,47,96,severe_slow,11,14,550000,700000,1,second_disk_severe_period
dynamic_sensitivity_100d_10pct_hdd,100,42,48,96,recovery,14,16,700000,800000,0,second_disk_recovery
dynamic_sensitivity_100d_10pct_hdd,100,42,49,96,healthy,16,20,800000,1000000,0,second_disk_post_recovery
dynamic_sensitivity_100d_10pct_hdd,100,42,50,97,healthy,0,9,0,450000,0,staggered_later_onset
dynamic_sensitivity_100d_10pct_hdd,100,42,51,97,mild_slow,9,11,450000,550000,1,second_disk_mild_period
dynamic_sensitivity_100d_10pct_hdd,100,42,52,97,severe_slow,11,14,550000,700000,1,second_disk_severe_period
dynamic_sensitivity_100d_10pct_hdd,100,42,53,97,recovery,14,16,700000,800000,0,second_disk_recovery
dynamic_sensitivity_100d_10pct_hdd,100,42,54,97,healthy,16,20,800000,1000000,0,second_disk_post_recovery
dynamic_sensitivity_100d_10pct_hdd,100,42,55,98,healthy,0,9,0,450000,0,staggered_later_onset
dynamic_sensitivity_100d_10pct_hdd,100,42,56,98,mild_slow,9,11,450000,550000,1,second_disk_mild_period
dynamic_sensitivity_100d_10pct_hdd,100,42,57,98,severe_slow,11,14,550000,700000,1,second_disk_severe_period
dynamic_sensitivity_100d_10pct_hdd,100,42,58,98,recovery,14,16,700000,800000,0,second_disk_recovery
dynamic_sensitivity_100d_10pct_hdd,100,42,59,98,healthy,16,20,800000,1000000,0,second_disk_post_recovery
dynamic_sensitivity_100d_10pct_hdd,100,42,60,99,healthy,0,9,0,450000,0,staggered_later_onset
dynamic_sensitivity_100d_10pct_hdd,100,42,61,99,mild_slow,9,11,450000,550000,1,second_disk_mild_period
dynamic_sensitivity_100d_10pct_hdd,100,42,62,99,severe_slow,11,14,550000,700000,1,second_disk_severe_period
dynamic_sensitivity_100d_10pct_hdd,100,42,63,99,recovery,14,16,700000,800000,0,second_disk_recovery
dynamic_sensitivity_100d_10pct_hdd,100,42,64,99,healthy,16,20,800000,1000000,0,second_disk_post_recovery
